,Rating,Size,Avg Salary(K),Job Location,Age,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,seniority_by_title,Degree
0,3.8,501 - 1000 ,72.0,NM,48,1,0,0,1,0,1,0,0,0,0,0,1,1,na,M
1,3.4,10000+ ,87.5,MD,37,1,0,0,0,0,0,0,0,0,0,0,0,0,na,M
2,4.8,501 - 1000 ,85.0,FL,11,1,1,0,1,1,1,0,0,0,0,0,0,0,na,M
3,3.8,1001 - 5000 ,76.5,WA,56,1,0,0,0,0,0,0,0,0,0,0,0,0,na,na
4,2.9,51 - 200 ,114.5,NY,23,1,0,0,1,1,1,0,0,0,0,0,0,0,na,na
5,3.4,201 - 500 ,95.0,TX,21,1,0,1,1,1,0,0,0,0,0,0,0,1,na,na
6,4.1,501 - 1000 ,73.5,MD,13,0,0,0,1,0,0,0,0,0,0,0,0,0,na,na
7,3.8,201 - 500 ,114.0,CA,16,1,1,1,1,1,0,0,1,0,1,0,0,0,na,M
8,3.3,10000+ ,61.0,NY,7,0,0,0,0,0,0,0,0,0,0,0,0,0,na,P
9,4.6,51 - 200 ,140.0,NY,12,1,1,0,0,0,0,0,0,0,0,0,0,0,na,na
10,3.5,501 - 1000 ,163.5,CA,10,1,0,0,0,0,0,0,0,0,0,0,0,0,na,na
11,4.1,5001 - 10000 ,85.0,VA,53,0,0,0,0,1,0,0,0,0,0,1,0,0,na,na
12,3.2,10000+ ,139.0,TX,59,0,0,0,0,1,0,0,0,0,0,1,0,0,na,M
13,4.1,201 - 500 ,65.5,WA,9,1,1,1,1,1,0,0,0,0,0,0,1,1,na,na
14,3.7,10000+ ,113.5,MA,240,1,1,0,0,1,0,0,0,0,1,0,0,0,na,M
15,3.6,1001 - 5000 ,146.0,NJ,26,0,0,0,1,0,0,0,0,0,0,0,0,0,na,na
16,3.9,51 - 200 ,102.0,MA,10,0,0,0,1,0,0,0,0,0,0,0,0,0,na,P
17,4.3,201 - 500 ,153.5,CA,10,1,1,1,1,0,0,0,0,0,0,1,0,0,na,M
18,4.2,51 - 200 ,142.5,CA,11,0,0,0,0,1,0,0,0,0,0,0,0,0,na,na
19,4.0,501 - 1000 ,87.5,CO,106,1,0,0,1,1,0,1,1,1,1,0,0,0,na,M
20,3.2,201 - 500 ,105.5,WA,9,1,1,0,0,1,0,0,0,0,0,0,0,0,na,M
21,3.9,201 - 500 ,96.0,TX,8,0,0,0,1,0,0,0,0,0,0,0,0,0,sr,P
22,3.8,501 - 1000 ,112.5,IL,26,1,0,1,1,1,0,0,0,0,0,0,0,0,na,M
23,4.3,51 - 200 ,84.0,KY,86,1,0,0,1,1,0,0,0,0,0,0,1,0,na,M
24,4.0,501 - 1000 ,143.0,VA,9,1,0,1,0,0,0,1,0,0,1,0,0,0,na,na
25,4.0,10000+ ,86.5,MA,172,1,0,1,1,0,0,0,0,0,0,0,0,0,na,na
26,3.5,1001 - 5000 ,99.5,OR,69,1,1,1,1,1,0,1,0,1,1,0,1,0,na,na
27,3.7,5001 - 10000 ,47.5,MA,169,0,0,0,1,0,0,0,0,0,0,0,0,0,na,na
28,4.0,10000+ ,84.0,CT,172,0,0,1,1,0,0,0,0,0,0,0,0,0,na,M
31,3.6,1001 - 5000 ,96.0,MI,24,1,0,0,0,1,1,0,0,0,0,0,0,0,na,M
32,3.8,10000+ ,114.5,MA,25,1,0,0,0,0,0,0,1,1,0,0,0,0,na,na
33,3.8,5001 - 10000 ,121.0,CA,25,1,1,0,1,1,0,1,0,1,1,0,0,0,na,M
34,4.7,201 - 500 ,112.5,MA,47,1,0,0,1,0,0,0,0,0,0,0,0,0,na,na
35,4.2,201 - 500 ,106.0,CA,13,1,0,0,1,1,0,0,0,0,0,0,1,1,na,na
36,3.5,1001 - 5000 ,107.0,CA,52,1,1,1,0,0,0,0,0,0,0,1,1,0,na,M
37,4.7,201 - 500 ,110.0,MA,11,1,1,0,1,1,0,0,1,1,1,1,0,0,na,P
38,3.5,5001 - 10000 ,147.5,CA,151,1,0,0,1,0,0,0,0,0,0,0,0,0,sr,M
